Associate ID,Email triggered date
136578,04-Oct-21
136594,02-Mar-21
136688,20-Aug-21
136733,13-Apr-21
136744,24-Mar-22
136769,16-Jun-21
136811,17-May-21
136812,11-May-21
136865,22-Jul-21
136878,24-Mar-22
136934,14-Mar-22
136937,28-Apr-21
136951,31-May-21
136986,17-Nov-21
136989,30-Mar-22
137005,06-Apr-22
137008,26-May-21
137059,29-Oct-21
137105,16-Feb-21
137180,03-Mar-22
137207,26-Aug-21
137257,25-Aug-21
137262,30-Dec-21
137297,23-Jun-21
137322,04-Aug-21
137352,25-May-21
137366,17-Nov-21
137379,08-Oct-21
137383,13-Aug-21
137410,15-Jul-21
137415,19-Oct-21
137492,31-May-21
137495,14-Jun-21
137507,14-Jul-21
137528,30-Mar-22
137530,18-Mar-21
137578,04-May-21
137589,20-Apr-22
137596,04-Apr-22
137633,31-Aug-21
137643,20-Jan-21
137852,07-Jan-22
137904,08-Oct-21
138033,10-Jan-22
138088,08-Nov-21
138108,05-Jul-21
138134,16-Mar-22
138140,15-Jun-21
138195,18-Nov-21
138209,23-Jun-21
138229,16-Feb-21
138400,15-Jul-21
138407,20-Jan-22
138459,03-Feb-22
138463,25-Apr-22
138479,28-Jul-21
138488,05-Apr-21
138512,20-Aug-21
138516,01-Jul-21
138549,22-Dec-21
138563,04-Mar-22
138651,21-Jan-21
138652,28-Mar-22
138695,11-Jan-22
138793,27-Oct-21
138816,08-Apr-21
138897,06-Aug-21
138994,07-Jun-21
138996,03-Feb-22
139062,29-Jan-21
139076,11-Feb-22
139113,27-Oct-21
139296,15-Dec-21
139349,25-Apr-22
139394,18-Jan-22
139497,04-Jan-22
139516,24-Nov-21
139538,31-Mar-21
139548,18-Feb-22
139594,25-Jun-21
139596,08-Mar-21
139599,15-Jan-21
139603,24-Jun-21
139629,17-Feb-22
139737,26-Aug-21
139760,28-Sep-21
139790,17-Mar-21
139838,20-Jan-22
139905,12-Mar-21
139908,05-Apr-22
139945,07-Sep-21
139993,07-Mar-22
140121,17-Dec-21
140175,15-Sep-21
140206,01-Dec-21
140289,13-Jan-22
140300,08-Apr-22
140312,20-May-21
140394,29-Jun-21
140400,03-Mar-22
140411,07-Feb-22
140447,01-Jun-21
140461,25-Oct-21
140544,07-Mar-22
140550,05-May-21
140568,29-Mar-22
140629,10-Aug-21
140684,21-Mar-22
140715,04-May-21
140882,12-Nov-21
140887,17-Jan-22
140888,28-Feb-22
140938,02-Mar-22
140997,22-Mar-22
141056,22-Jul-21
141105,09-Jul-21
141113,01-Feb-21
141141,28-Jul-21
141152,06-Jul-21
141158,29-Jul-21
141188,14-Dec-21
141220,27-Oct-21
141223,07-Apr-21
141311,14-Jun-21
141331,12-Jan-22
141353,28-Mar-22
141354,05-Nov-21
141394,16-Feb-22
141460,30-Sep-21
141472,28-Apr-21
141543,22-Feb-22
141557,19-Jan-21
141625,21-Jul-21
141636,13-Oct-21
141690,03-Jan-22
141734,09-Sep-21
141801,17-Aug-21
141844,02-Jun-21
141850,03-Feb-21
141907,22-Sep-21
142028,21-Jul-21
142099,13-Apr-21
142153,22-Sep-21
142201,12-Jan-22
142213,05-May-21
142250,18-Jan-21
142293,21-Jul-21
142298,30-Nov-21
142396,20-Apr-21
142408,16-Mar-21
142409,21-Jul-21
142459,23-Dec-21
142584,18-Jan-21
142597,27-Jan-21
142600,27-Aug-21
142604,16-Feb-21
142649,12-Jan-22
142663,14-Jul-21
142665,03-May-21
142705,19-Jan-21
142715,08-Dec-21
142738,10-Mar-22
142864,10-Mar-22
142953,11-May-21
143048,13-Oct-21
